City,Dollar_sign,Nbr_reviews,Rating,RestName
"Seattle, WA","$$,$$,$$$,$$,$$,$$,$$$,$$,$$,$$,$$,$$,$$,$$,$,$$,$,$$$$,$$,$$,$$,$$,$$$,$$,$,$$,$$,$,$$,$$,$$,$",104 701 683 671 667 666 655 653 651 632 628 622 613 613 607 589 566 551 540 537 531 523 512 511 498 495 488 486 485 484 484 343,"4.5 star rating,3.5 star rating,4 star rating,3 star rating,3 star rating,3.5 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4.5 star rating,4 star rating,4 star rating,3.5 star rating,3.5 star rating,3.5 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating","juisala,Ras Dashen,Osteria la Spiga,Serafina,Buca di Beppo Italian Restaurant,The Rock Wood Fired Pizza,Razzís Pizzería,Tulio,Garlic Crush,Mamma Melina Ristorante + Pizzeria,Stoneburner,Zeeks Pizza,IL Bistro,Il Fornaio,Assaggio Ristorante,MOD Pizza,Via Tribunali - Capitol Hill,Big Mario’s New York Style Pizza,Altura,La Vita E Bella,Delancey,Marrakesh Moroccan Restaurant,Pegasus Pizza,Pasta Freska,Patxi’s Pizza,MOD Pizza,Mediterranean Kitchen,Proletariat Pizza,Eltana,The Pine Box,Veraci Pizza - Ballard,Tutta Bella Neapolitan Pizzeria - Columbia City,Thai Curry Simple"
"Seattle, WA","$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$$,$$,$,$$,$$,$$$,$$$,$$,$$,$$,$$$,$$,$$,$$,$,$$,$$,$$,$$$,$",77 167 5046 4105 3915 1846 1701 1532 1366 1358 1277 1190 1154 1127 1110 1027 1020 1016 1016 992 971 964 913 908 856 842 839 823 728 726 714 707 223,"4 star rating,4 star rating,4.5 star rating,4 star rating,4 star rating,4.5 star rating,4 star rating,4.5 star rating,4 star rating,4.5 star rating,4.5 star rating,4.5 star rating,4 star rating,4 star rating,3.5 star rating,4.5 star rating,4.5 star rating,4 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,5 star rating","H Bistro,Bodrum Bistro Mediterranean,The Pink Door,Serious Pie,Lola,List,Serious Pie & Biscuit,Von’s 1000 Spirits,Rocco’s,Salumi Artisan Cured Meats,Il Corvo Pasta,DERU Market,Saffron Grill,Barolo Ristorante,Maggiano’s Little Italy,Mr Gyros,Zig Zag Cafe,Petra Bistro,Cascina Spinasse,Tavolàta,Cafe Turko,Mediterranean Kitchen,Italian Family Pizza,How To Cook a Wolf,Bizzarro Italian Cafe,Ristorante Machiavelli,Cedars Restaurant,Hot Mama’s Pizza,Tutta Bella Neapolitan Pizzeria - Wallingford,Talarico’s Pizzeria,Alibi Room,Staple & Fancy,Celine Patisserie"
"Miami, FL","$$$,$$,$$,$$,$$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$,$$,$$$,$$,$$$$,$$,$$,$$,$$,$$,$$,$$,$$$",304 245 309 304 303 302 300 300 299 298 295 294 294 293 293 291 287 286 283 283 282 281 278 278 276 276 275 275 273 269 269 268 91,"4.5 star rating,4.5 star rating,4 star rating,4.5 star rating,4 star rating,3 star rating,4 star rating,3.5 star rating,3.5 star rating,4.5 star rating,3.5 star rating,3 star rating,3.5 star rating,4 star rating,3.5 star rating,3 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,3 star rating,4.5 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4.5 star rating,4.5 star rating,3 star rating,4.5 star rating","MesaMar Seafood Table,Alloy Bistro Gourmet,Two Brothers Pizzeria & Restaurant,Mister O1 - Wynwood,Toscana Divino,Brio Tuscan Grille,Harry’s Pizzeria - Coconut Grove,Cantina 27,Rice Mediterranean Kitchen,LOCAL PIE,Michi’s,Caffe Milano,La Fontana Ristorante,Anthony’s Coal Fired Pizza,Mykonos Greek Restaurant,Sultan Restaurant,Frankie’s Pizza,Layali Miami Lebanese Restaurant & Hookah Lounge,Anthony’s Coal Fired Pizza,Segafredo L’Originale,Gyroville,Il Forno Ristorante,Pelican Restcafe - Temp. CLOSED,Siamo,Cipriani Downtown Miami,Rice Mediterranean Kitchen,Rice House of Kabob,Strada in the Grove,Pieology Pizzeria,Pinch Me Gastrobar & Market,Barmeli 69,Olive Garden Italian Restaurant,Costa Med Bistro + Wine"
"Miami, FL","$$,$$,$$,$$,$$$,$$,$$,$$,$$,$$,$$,$$,$$,$,$$,$$,$$,$$,$$$,$$$,$$,$$,$$$,$$,$$,$$,$$,$$$,$$,$$,$,$$,$$",466 697 413 410 410 404 400 392 392 391 391 381 379 371 367 367 365 359 358 351 349 340 337 336 333 330 327 325 318 316 316 315 93,"4.5 star rating,4.5 star rating,4.5 star rating,3.5 star rating,3.5 star rating,4 star rating,4 star rating,4.5 star rating,4.5 star rating,3.5 star rating,4 star rating,5 star rating,4 star rating,3.5 star rating,3 star rating,3 star rating,4 star rating,4.5 star rating,3.5 star rating,4.5 star rating,4 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4.5 star rating,4.5 star rating,3.5 star rating,4 star rating","Biscayne Bay Brewing Company,Pisco Y Nazca Ceviche Gastrobar,Sapore Di Mare,BJ’s Restaurant & Brewhouse,Casa Tua,Ironside Kitchen,Piola - Brickell,Zuuk Mediterranean Kitchen,Mercato Della Pescheria - Miami Beach,Amici’s Trattoria Italiana,Clove Mediterranean Kitchen,Red Carpet Italian,The Brick American Kitchen & Bar,Pizza Rustica,D’Vine,BJ’s Restaurant & Brewhouse,La Locanda,Miami Mediterranean Cuisine,Villa Azur,Caffe Vialetto,Salumeria 104,NOA Cafe,MC Kitchen,Casa Tua Cucina,Soya E Pomodoro,Little Louies Italian Kitchen,George’s Restaurant & Lounge,Sardinia Enoteca Ristorante,Fi’lia,North Italia,A Little Bit of Philly,Villagio,Sala’o Cuban Bar & Pescaderia"
"Miami, FL","$$,$$$,$$$,$$,$$$,$$$$,$,$$$,$$,$$$,$$,$$,$$,$$,$$,$$,$,$$,$$,$$$,$$,$$$$,$,$$,$,$$,$$,$$$,$$$,$$,$$,$$",346 548 546 545 543 543 536 526 524 508 505 502 494 489 481 480 474 473 470 463 461 461 453 447 439 431 430 429 417 416 415,"4 star rating,3.5 star rating,4 star rating,4.5 star rating,3.5 star rating,3.5 star rating,3.5 star rating,3.5 star rating,4 star rating,4.5 star rating,4.5 star rating,4.5 star rating,4 star rating,4 star rating,4.5 star rating,4.5 star rating,4 star rating,4.5 star rating,3 star rating,4.5 star rating,4 star rating,4.5 star rating,4 star rating,4.5 star rating,4.5 star rating,2.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4.5 star rating","La Rosa Restaurant,Hotel Breakwater South Beach,Cecconi’s Miami Beach,Spris,Osteria Del Teatro,Gianni’s,Pizza Rustica,Hosteria Romana,Joey’s,Macchialina Taverna Rustica,Mister O1 - Brickell,Babylon Mediterranean Kitchen & Bar,Osteria Vecchio Piemonte,Lucali,SAWA Restaurant & Lounge,Spitfire - Mediterranean Street Food,Gyroville,Sylvano Miami Beach,Apizza Brooklyn Resto + Vino,Kiki On The River,NiDo Caffe,Estiatorio Milos By Costas Spiliadis,Blocks Pizza Deli,Fooq’s,Pizza Johny’s,Lola Restaurant & Grill,Il Giardino,Dolce Italian,Carpaccio,Alaska Coffee Roasting,Maroosh Mediterranean Restaurant,Vero,CMX Cinemas Brickell Dine-In"
"Miami, FL","$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$,$$,$$,$$,$$,$$$,$$,$,$,$,$$$,$$$,$$,$$,$$$,$$$$,$$$,$$,$$$",245 245 1847 1670 1504 1113 1110 1068 1044 945 927 888 862 841 828 804 762 748 742 734 692 678 674 673 657 642 641 633 631 623 589 559 91,"4.5 star rating,4 star rating,3.5 star rating,4.5 star rating,4 star rating,5 star rating,4 star rating,4.5 star rating,4.5 star rating,4.5 star rating,4.5 star rating,4.5 star rating,4 star rating,4 star rating,3.5 star rating,4.5 star rating,4.5 star rating,4 star rating,4.5 star rating,4 star rating,3.5 star rating,3.5 star rating,3.5 star rating,4.5 star rating,4.5 star rating,3.5 star rating,4 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4.5 star rating","Alloy Bistro Gourmet,Bocas Grill Brickell,Big Pink,Mandolin Aegean Bistro,Crazy About You,Fratellino,Eating House,Pane & Vino,Fratelli Milano,Divieto Ristorante,CRUST,Poseidon Greek Restaurant & Outdoor Lounge,Andiamo,Fratelli La Bufala,Steve’s Pizza,Café Prima Pasta,Cafe Roval,The Big Cheese Of Miami,Mister O1- South Beach,Scarpetta,Berries In the Grove,Pizza Bar,Casola’s Pizzeria & Sub Shop,Pummarola Coral Gables,Byblos Miami,Prime Italian,Cibo Wine Bar-Coral Gables,Safron Mediterranean Grill,Cleo,Red, the Steakhouse,Il Gabbiano,Harry’s Pizzeria - Design District,Costa Med Bistro + Wine"
"Miami, FL","$$,$$$,$,$$,$,$$,$$,$$,$$,$$,$,$$,$$,$$$,$$$,$$,$,$$,$,$$,$$,$$,$$,$,$$,$$,$$,$$,$$,$$,$$,$$,$$",245 304 213 213 211 210 209 207 207 206 206 204 203 202 202 201 201 200 199 199 197 195 193 192 191 191 190 190 188 188 187 186,"4.5 star rating,4.5 star rating,4.5 star rating,4 star rating,4 star rating,3 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,3 star rating,4.5 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,2.5 star rating,3.5 star rating,3.5 star rating,4.5 star rating,4 star rating,4 star rating,3 star rating,4 star rating,4 star rating,4 star rating,4.5 star rating,3.5 star rating,4 star rating,4 star rating,4.5 star rating","Alloy Bistro Gourmet,MesaMar Seafood Table,Marakas Pizza,Rincon Argentino,Magic City Pizza,Friend’s Market and Bistro,Farinelli 1937,Giotto,Rice House of Kabob,La Pizza,Steve’s Pizza,Ohana Sushi,Rakija Lounge,Zucca,Sea Grill,Spritz Pizzeria,I Love Pizza,Venezia Grill, Pizzeria & Bar,East Side Pizza,La Côte,La Leggenda Pizzeria,Secreto Restaurant,Anacapri Miami Lakes,Pucci’s Pizza,Tutto Pizza,New Campo Argentino Steakhouse,Spris Artisan Pizza,Jardim de Portugal,Mike’s Pizzeria and Italian Restaurant,Caffe Di Mauro,Beirut Doral Restaurant,Shahs Of Kabob,Kitchenette Brasserie"
"Miami, FL","$$,$$,$$$,$$,$,$$,$$,$$,$$,$$,$$,$,$$,$$,$$,$$,$$,$$,$$$,$$,$$,$,$$,$$,$$,$$,$$,$$,$$$,$$",669 227 268 266 264 261 261 260 257 256 256 253 251 249 246 246 245 245 244 242 242 239 239 237 237 234 230 229 220 218 217 216,"4 star rating,4.5 star rating,4 star rating,4 star rating,3.5 star rating,2.5 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,3 star rating,4 star rating,3.5 star rating,4.5 star rating,4 star rating,4 star rating,4.5 star rating,4.5 star rating,4 star rating,4 star rating,4.5 star rating,4.5 star rating,4 star rating,4.5 star rating,4 star rating,3.5 star rating,3.5 star rating,3.5 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating","Sparky’s Roadside Barbecue,BurgerFi,Lique Miami,Stanzione 87,Evio’s Pizza & Grill,Romano’s Macaroni Grill,Maria’s Greek Restaurant,Via Verdi Miami,Tatore Ristorante Italiano,Mike’s At Venetia,Rosinella,Al Basha Grill,California Pizza Kitchen at Miracle Mile,Amor di Pasta - Blue Lagoon,Anthony’s Coal Fired Pizza,Baccano - Temp. CLOSED,Mazzi Cucina,Alloy Bistro Gourmet,Spiga,Via Emilia 9,Marfil Bistro,Amsterdam Falafelshop,Mare Mio Restaurant,Ponte Vecchio Ristorante E Pizzeria,Vista,Manhattan Chicago Pizza Kendall,Astra,Pizza Pazza,7tyone Restaurant & Coffee,Sette Osteria - Wynwood,Caffe Abbracci,Lokum Mediterranean Bar and Grill,The One Night Stand"
"San Jose, CA","$$$$,$$,$$,$,$$,$$,$$,$$,$$$$,$$,$$,$$,$",593 574 292 289 288 286 280 273 271 268 266 266 550,"4 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,3 star rating,3.5 star rating,4.5 star rating,3 star rating,3 star rating,4 star rating,4 star rating,3 star rating","La Foret,Cucina Venti Restaurant,Bogey’s Pizza,New York Pizza,The Creek Eatery,Tomatina,The Garret Station,Got2go Pizza,The Ranch at Silver Creek,San Jose Joe’s,Legends Pizza,SAJJ Mediterranean,Homestead Bowl & The X Bar"
"San Jose, CA","$$$$,$$,$,$$,$$,$$,$$,$,$$,$$,$$,$$,$$",593 1175 376 366 366 365 362 361 360 357 354 352 688,"4 star rating,3 star rating,4.5 star rating,4 star rating,3.5 star rating,3.5 star rating,3 star rating,4 star rating,4.5 star rating,3.5 star rating,4 star rating,4.5 star rating,3.5 star rating","La Foret,Loft Bar & Bistro,Italian Brothers Bakery,Gyros, Burgers & More,Cafe Falafel Grill,Rookies Sports Lodge,Gardino Fresco,MOD Pizza,Holyland Restaurant & Catering,Premier Pizza,Seniore’s Pizza,Obed Mediterranean Cuisine,Casa Azteca"
"San Jose, CA","$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$",119 176 517 501 492 479 478 473 471 470 468 453 894,"5 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,3 star rating,4 star rating,3.5 star rating","Tasty Pizza,Organic Pisa,La Fontaine Restaurant,Siena Bistro,Agape Grill,Campo Di Bocce of Los Gatos,Jake’s of Willow Glen,Bistro Tupaz,Tasty Indian Pizza,Centonove,Taverna Bistro,Sajj Mediterranean,The Blue Door Restaurant & Bar"
"San Jose, CA","$,$$,$$,$$,$$,$$,$$,$$,$$,$,$$,$$,$$",550 296 670 659 657 632 630 629 620 618 605 605 1175,"3 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,3.5 star rating,4 star rating,4.5 star rating,3 star rating","Homestead Bowl & The X Bar,Bona Pizza,Blue Line Pizza,Giorgio’s Italian Food & Pizzeria,Tony Di Maggio’s Pizza,Jerusalem Grill - Temp. CLOSED,The Pastaria & Market,Giovanni’s Pizzeria,Giorgio’s Italian Food & Pizzeria,Wrap This,Vito’s Trattoria,Sorelle Italian Bistro,Loft Bar & Bistro"
"San Jose, CA","$$,$$,$$,$$,$$,$$,$$,$$,$$$,$$",944 939 937 928 925 916 900 862 837 835,"4 star rating,3 star rating,4 star rating,3.5 star rating,4 star rating,4.5 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating","Mikonos Grill,Buca di Beppo Italian Restaurant,Cafe Artemis,Patxi’s Pizza,Ciceros Pizza,Souvlaki’s Greek Skewers,Doppio Zero,Pizz’a Chicago,Tigelleria Organic Restaurant,Oren’s Hummus"
"San Jose, CA","$$,$,$$,$$,$,$$,$,$$,$$,$$,$$",688 4301 3751 3606 2727 2658 2217 2048 1696 1522 1449,"3.5 star rating,4 star rating,4.5 star rating,3.5 star rating,4.5 star rating,4 star rating,4 star rating,3 star rating,4 star rating,4 star rating,3 star rating","Casa Azteca,Falafel’s Drive-In,DishDash,Maggiano’s Little Italy,A Slice of New York,Pizza Antica,Falafel Stop,Original Joe’s - San Jose,Vaso Azzurro Ristorante,Athena Grill,The Old Spaghetti Factory"
"Washington, DC","$$,$$,$,$$,$,$,$$,$$,$$,$,$,$$,$$,$$,$,$$,$$,$,$$,$$,$,$$,$$,$$,$$,$$,$,$$,$$,$$,$,$$",171 56 227 222 220 217 217 217 216 213 212 210 209 203 203 202 199 198 198 197 196 196 195 194 193 192 192 192 191 188 187 186 328,"4 star rating,3 star rating,3 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,3 star rating,3.5 star rating,4.5 star rating,4 star rating,4 star rating,4.5 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,3.5 star rating,3 star rating,4 star rating,3.5 star rating,3.5 star rating,3.5 star rating,3.5 star rating,4.5 star rating,4.5 star rating,3.5 star rating,3 star rating,3.5 star rating,3.5 star rating,4 star rating,4 star rating,3.5 star rating","Sotto,Rewind by Decades,Ledo Restaurant,Blaze Fast-Fire’d Pizza,Giovanni’s Trattu,Wiseguy Pizza,DC Slices,Pizzolis Pizzeria,Acacia Food & Wine,Little Coco’s,Yafa Grille,Charcoal Town Shawarma,Little Sesame,Mocha Cafe & Pastry,La Panetteria Ristorante,Cafe Tu-O-Tu,Gusto Farm To Street,Layalina Restaurant,Bronx Pizza Subs,Atilla’s Restaurant,Declaration,Pizza D’Oro,Red, White and Basil,Positano Ristorante Italiano,Bozzelli’s,Sospeso,Pines of Rome,Fuel Pizza,Cafe Pizzaiolo,Roti Modern Mediterranean,&pizza - Reagan,Middle Eastern Cuisine,Fahrenheit"
"Washington, DC","$$,$$,$$,$,$$,$$,$$$,$$,$$,$$,$,$$,$$,$$,$,$$,$$,$$,$$,$$,$,$,$$,$$,$,$$,$,$,$,$,$",56 731 292 289 288 285 284 281 280 278 277 273 270 263 262 261 256 255 254 254 251 247 245 242 241 240 240 238 232 229 229 229,"3 star rating,4 star rating,4 star rating,3.5 star rating,4.5 star rating,3.5 star rating,3 star rating,4 star rating,4 star rating,3 star rating,4 star rating,4.5 star rating,4 star rating,3 star rating,3.5 star rating,4 star rating,4 star rating,3 star rating,3.5 star rating,3 star rating,3.5 star rating,4 star rating,3 star rating,3 star rating,3.5 star rating,3.5 star rating,3.5 star rating,4.5 star rating,3.5 star rating,4 star rating,2.5 star rating,4 star rating","Rewind by Decades,Ghibellina,&pizza - Dupont South,Cafe 8,Mangialardo,Il Radicchio,Tarbouch Mediterranean Grill,Ristorante La Perla of Washington,Etto,Hawk ‘n’ Dove,Bacio Pizzeria,M & N’s Pizza,Pizzeria Da Marco,Mamma Lucia,LiLLiES Restaurant & Bar,Bozzelli’s,Alta Strada City Vista,Bertucci’s Italian Restaurant,Roscoe’s Pizzeria,Olive Garden Italian Restaurant,Officina,The Broiler,Fuel Pizza,Al Dente,Italian Pizza Kitchen,Jumbo Slice Pizza,California Pizza Kitchen at Pentagon Center,CAVA,Tasty Kabob,Roti Modern Mediterranean,Manny & Olga’s Pizza,Vace"
"Washington, DC","$$,$$$,$$,$$,$$,$,$$$,$,$$$$,$$,$$,$$,$$,$$,$$,$$,$,$$$$,$$,$$,$,$$,$$$,$$,$,$,$,$,$$,$",376 371 370 361 359 354 351 348 347 344 342 341 340 339 336 334 333 331 328 327 323 318 317 315 311 308 303 301 299 299,"4 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,4.5 star rating,4.5 star rating,4 star rating,3.5 star rating,3.5 star rating,3.5 star rating,5 star rating,2.5 star rating,4 star rating,4.5 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,3 star rating,2.5 star rating,4.5 star rating","Moby Dick House of Kabob,Al Tiramisu,Seventh Hill,Darlington House,The Portofino Restaurant,Roti Modern Mediterranean,Sfoglina,We, The Pizza,Obelisk,Osteria Al Volo,CAVA,Curry & Pie,Sette Osteria - Washington,Café Divan,Dupont Italian Kitchen,DCG - District Chicken & Gyro,Mario’s Pizza House,Masseria,Marathon Deli,LIA’S,Astor Mediterranean,Otello,Centrolina,Soussi Restaurant,&pizza - Bethesda,Goody’s,Moby Dick House of Kabob,Flippin’ Pizza,Uno Pizzeria & Grill,Basil Thyme"
"Washington, DC","$$,$$,$,$$,$$,$$,$$$,$$,$,$$$,$$,$$$,$$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$$,$$,$$,$$,$$,$$,$,$$",544 533 517 513 511 503 502 502 497 470 462 461 457 449 430 427 424 418 413 402 398 396 393 389 389 388 387 384 378 378,"4.5 star rating,3.5 star rating,5 star rating,3.5 star rating,4 star rating,4.5 star rating,3 star rating,3.5 star rating,4 star rating,4 star rating,3 star rating,4 star rating,3 star rating,4 star rating,3.5 star rating,4 star rating,4.5 star rating,3.5 star rating,4 star rating,3 star rating,3.5 star rating,4 star rating,4.5 star rating,3 star rating,4 star rating,4 star rating,4 star rating,4.5 star rating,4.5 star rating,4 star rating","&pizza - K Street,Maggiano’s Little Italy,Falafel Inc,Mellow Mushroom,Mama Ayesha’s,Menomale Pizza Napoletana,I Ricchi,Medaterra,Vace,Siroc Restaurant,La Tomate,Tosca,Cafe Milano,Extreme Pizza - Arlington,Pete’s New Haven Style Apizza,Busboys and Poets - Brookland,Timber Pizza Company,Matchbox - Pentagon City,Busboys and Poets - Takoma,RedRocks Neapolitan Bistro,Lebanese Taverna Pentagon,Osteria da Nino,Ottoman Taverna,Buca di Beppo Italian Restaurant,All-Purpose Shaw,Mele Bistro,Mezé Restaurant,Amsterdam Falafelshop,Mezeh Mediterranean Grill - Arlington,CAVA"
"Washington, DC","$$,$$$$,$$,$$,$$,$$,$$$,$$$,$$,$$,$$,$$,$$,$$,$$,$$,$$,$$$,$$,$$,$$,$,$$,$$,$$,$$,$,$$,$$,$$",751 744 739 736 731 723 722 721 718 710 706 698 691 681 673 664 657 656 644 644 636 635 621 612 604 596 584 572 556 552,"4 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,3.5 star rating,4 star rating,3.5 star rating,3.5 star rating,3.5 star rating,4 star rating,4.5 star rating,3.5 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,4.5 star rating,3.5 star rating,4 star rating,3.5 star rating,4 star rating,3.5 star rating,4 star rating,3.5 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,3.5 star rating","Acqua Al 2,Fiola,Floriana,Vapiano,Ghibellina,Lebanese Taverna,Osteria Morini,Fig & Olive - Washington,Ella’s Wood Fired Pizza,Lost Dog Cafe,Tortino Restaurant,&pizza - H Street,Fire Works Pizza,Mejana,Lavagna,Vapiano,Zorba’s Cafe,Tail Up Goat,Mussel Bar & Grille Bethesda,Flavio Restaurant,Ristorante Piccolo,&pizza - U Street,Lupo Verde,Olazzo,Sette Osteria,Chef Tony’s Restaurant,Duccini’s,ANKARA - Temp. CLOSED,Astor Mediterranean,RedRocks Columbia Heights"
"Austin, TX","$$,$$,$$,$$,$,$$,$$,$$,$$,$$,$$,$$$",336 77 145 145 143 138 137 137 135 135 132 130 345,"4 star rating,4.5 star rating,3 star rating,4 star rating,4.5 star rating,4.5 star rating,3 star rating,4 star rating,3 star rating,4.5 star rating,4.5 star rating,3 star rating,4.5 star rating","The Rolling Rooster,La Volpe,Austin’s Pizza South Lamar,360 Pizza,Li’l Nonna’s,Flaming Pizza,Salvation Pizza - Rainey Street,The Kebab Shop,California Pizza Kitchen at Barton Creek Square,Beirut,Uzeat Restaurant,Lakeside Pizza & Grill,Gino’s Vino Osteria"
"Washington, DC","$$,$$$,$$,$$$,$,$$,$$,$$,$$,$$,$$$,$$,$$,$$,$$$,$$,$$$$,$$,$,$,$,$$,$,$$,$$$,$$,$$,$$,$$,$$",3004 2509 2249 1933 1898 1842 1663 1661 1622 1374 1373 1238 1197 1151 1135 1116 1076 1072 1021 1009 978 970 948 833 832 812 803 781 764 757,"4.5 star rating,4 star rating,4 star rating,4.5 star rating,4.5 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4.5 star rating,4.5 star rating,4 star rating,4 star rating,3.5 star rating,4 star rating,3.5 star rating,4 star rating,3.5 star rating,3.5 star rating,3.5 star rating","il Canale,Filomena Ristorante,Busboys and Poets - 450K,Rose’s Luxury,Amsterdam Falafelshop,Pupatella,Open City,Pi Pizzeria,2 Amys Neapolitan Pizzeria,Busboys and Poets - Shirlington,Cava Mezze,Carmine’s Italian Restaurant - Washington,Busboys and Poets - Hyattsville,Agora,RPM Italian,Cava Mezze,Fiola Mare,Pizzeria Paradiso Dupont,We, The Pizza,Wiseguy Pizza,&pizza - E Street,Matchbox - Capitol Hill,The Italian Store,Urbana,The Red Hen,Comet Ping Pong,Matchbox - 14th Street,Pizzeria Paradiso Georgetown,Rustico Restaurant & Bar,Barcode Restaurant, Bar and Lounge"
"Austin, TX","$$,$,$,$$,$$,$,$$,$,$$,$$,$$,$$",153 537 194 193 192 192 188 185 185 185 184 183 92,"5 star rating,4 star rating,3 star rating,3.5 star rating,3.5 star rating,3.5 star rating,4 star rating,4.5 star rating,4.5 star rating,3 star rating,3.5 star rating,3.5 star rating,4 star rating","SP Brazilian Steakhouse,Corner,Tino’s Greek Cafe,Tino’s Greek Cafe,Olive Garden Italian Restaurant,Pizza Day,MOD Pizza,40 North,MOD Pizza,Conans Pizza South,Mangia Pizza,Brick Oven Restaurant,REVUE"
"Austin, TX","$$,$,$$$,$,$$,$$,$,$$,$$,$$,$,$$",379 248 242 240 239 239 238 236 230 229 229 895,"3.5 star rating,4 star rating,4 star rating,4.5 star rating,4 star rating,4.5 star rating,4.5 star rating,3.5 star rating,4.5 star rating,3 star rating,4 star rating,4.5 star rating","Perfect Strangers,Gusto Italian Kitchen & Wine Bar,Spartan Pizza,Il Brutto,The Halal Gurus,Shandeez Restaurant,BackDraft Pizzeria,Kismet Cafe,Nik’s Italian Kitchen + Bar,Via 313 Pizza - East Side,California Pizza Kitchen at The Domain,MOD Pizza,True Food Kitchen"
"Austin, TX","$$,$$,$$$,$$,$$$,$$,$$,$$,$,$,$$$,$$",753 4 362 360 351 345 344 341 341 326 325 324 135,"4 star rating,4.5 star rating,3.5 star rating,4 star rating,4.5 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating,4.5 star rating,3.5 star rating,3.5 star rating,4 star rating","Stella San Jac,Chi’Lantro,Mandola’s Italian,L’Oca d’Oro,Home Slice Pizza,Gino’s Vino Osteria,Austin Terrier,Newk’s Eatery,Juniper,MezzeMe,Blue Baker,Siena Ristorante Toscana,Bahadi’s Chicken & Lounge"
"Austin, TX","$,$$,$,$$,$,$$,$$$,$$,$$,$$,$,$$",112 346 500 498 490 481 479 472 469 468 464 462 153,"4 star rating,4 star rating,4.5 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,4.5 star rating,4 star rating,5 star rating","El Sunzal Restaurant,Poke House - Austin,More Home Slice Pizza,Via 313 Pizza - North Campus,Sarah’s Mediterranean Grill & Market,Cafe Malta,Italic,The Grove Wine Bar & Kitchen,Craft Pride,Southside Flying Pizza,Troy ATX,Dimassi’s Mediterranean Buffet,SP Brazilian Steakhouse"
"Austin, TX","$$,$$,$$,$$,$,$$,$,$$,$$,$$,$$,$$",826 168 3610 1223 1148 973 943 929 892 808 800 748 77,"3.5 star rating,4 star rating,4.5 star rating,4 star rating,4.5 star rating,4 star rating,4 star rating,4 star rating,3.5 star rating,3.5 star rating,4 star rating,4.5 star rating,4.5 star rating","Punch Bowl Social - Austin,Darna Mediterranean Cuisine,Home Slice Pizza,North Italia,Little Deli & Pizzeria,Pinthouse Pizza,The Jackalope,Mandola’s Italian,North By Northwest Restaurant & Brewery - Stonelake,Taverna,Enoteca Vespaio,Via 313 Pizza - Oak Hill,La Volpe"
